trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.9260714285714285, 'e': 0.4982051627146238}",20,16,8.20007277817147,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.9255357142857142, 'e': 0.4957141369010507}",25,0,-11.035469340814368,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.925, 'e': 0.4932355662165454}",20,2,9.347750712450182,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.9244642857142857, 'e': 0.4907693883854627}",25,6,1.8745358246862411,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.9239285714285714, 'e': 0.4883155414435354}",25,4,-35.271744118585815,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 0}",1
144,False,"{'a': 0.9233928571428571, 'e': 0.4858739637363177}",30,19,-0.7362553181214393,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.9228571428571428, 'e': 0.4834445939176361}",20,13,-92.90637285882744,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 2}",1
146,False,"{'a': 0.9223214285714285, 'e': 0.4810273709480479}",30,12,15.855258780011454,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.9217857142857143, 'e': 0.4786222340933077}",35,16,-51.53359015466033,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
148,False,"{'a': 0.92125, 'e': 0.47622912292284114}",25,5,-14.971685108408378,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.9207142857142857, 'e': 0.4738479773082269}",25,0,-36.46457394879509,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
150,False,"{'a': 0.9201785714285714, 'e': 0.4714787374216858}",20,0,-135.32074821682818,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",1
151,False,"{'a': 0.9196428571428571, 'e': 0.46912134373457737}",25,0,-59.36754595667378,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
152,False,"{'a': 0.9191071428571429, 'e': 0.46677573701590447}",25,0,-18.53195157515313,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
153,False,"{'a': 0.9185714285714286, 'e': 0.46444185833082496}",30,0,-8.684347344204713,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
154,False,"{'a': 0.9180357142857143, 'e': 0.46211964903917085}",20,3,-81.1909634701051,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
155,False,"{'a': 0.9175, 'e': 0.459809050793975}",25,0,-98.26159132641415,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
156,False,"{'a': 0.9169642857142857, 'e': 0.4575100055400051}",20,6,-50.36215559907769,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
157,False,"{'a': 0.9164285714285714, 'e': 0.45522245551230506}",20,13,7.114107184671362,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.9158928571428572, 'e': 0.45294634323474353}",20,14,11.176513339442135,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.9153571428571429, 'e': 0.45068161151856984}",20,4,-43.715884370547016,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
160,False,"{'a': 0.9148214285714286, 'e': 0.44842820346097695}",25,4,-26.261225064631653,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 0}",1
161,False,"{'a': 0.9142857142857143, 'e': 0.4461860624436721}",20,11,6.459427631549745,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.91375, 'e': 0.4439551321314537}",35,15,7.81519161038925,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.9132142857142858, 'e': 0.4417353564707965}",20,0,-6.172626821626984,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
164,False,"{'a': 0.9126785714285715, 'e': 0.43952667968844245}",20,9,-33.43107116419403,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.9121428571428571, 'e': 0.43732904629000025}",30,8,16.008784457200793,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.9116071428571428, 'e': 0.43514240105855023}",25,0,-29.093606373721617,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
167,False,"{'a': 0.9110714285714285, 'e': 0.4329666890532575}",20,0,-29.95639677618916,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
168,False,"{'a': 0.9105357142857142, 'e': 0.4308018556079912}",30,0,-4.695619911274934,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
169,False,"{'a': 0.91, 'e': 0.42864784632995123}",25,15,-67.98101566963014,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
170,False,"{'a': 0.9094642857142857, 'e': 0.4265046070983015}",20,0,-10.291283484339026,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
171,False,"{'a': 0.9089285714285714, 'e': 0.42437208406280996}",25,3,-75.60034962742161,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 0}",1
172,False,"{'a': 0.9083928571428571, 'e': 0.4222502236424959}",20,13,-62.25400468317027,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 1}",1
